School,Zip Code,Grades,Local District,Board District,complete_address,latitude,longitude
Frank Del Olmo Elementary,90004,K- 5,C,2-Monica Garcia,100 N New Hampshire Ave Los Angeles CA 90004,34.072925,-118.292591
10th Street Elementary,90015,1- 5,C,2-Monica Garcia,1000 Grattan St Los Angeles CA 90015,34.0482844,-118.27326399999998
Elementary Community Day School,91311,K- 6,XS,3-Scott M Schmerelson,10001 Jumilla Ave Chatsworth CA 91311,34.2518249,-118.5633769
Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag,91340,9-12,NE,6-Kelly Gonez,1001 Arroyo Ave San Fernando CA 91340,34.2885136,-118.421011
San Pedro Senior High Gifted STEAM Magnet,90731,9-12,S,7-Dr Richard A Vladovic,1001 W 15th St San Pedro CA 90731,33.73037,-118.2993419
Normont Elementary,90710,K- 5,S,7-Dr Richard A Vladovic,1001 W 253rd St Harbor City CA 90710,33.7947219,-118.2927652
Stoney Point Continuation High,91311,9-12,NW,3-Scott M Schmerelson,10010 De Soto Ave Chatsworth CA 91311,34.252045700000004,-118.5881187
Montara Avenue Elementary,90280,K- 6,E,5-Jackie Goldberg,10018 Montara Ave South Gate CA 90280,33.9442942,-118.2183512
Chatsworth Charter High School,91311,9-12,NW,3-Scott M Schmerelson,10027 Lurline Ave Chatsworth CA 91311,34.253423700000006,-118.58606609999998
Our Community Charter School,91311,K- 8,XR,3-Scott M Schmerelson,10045 Jumilla Ave Chatsworth CA 91311,34.2526771,-118.5639157
Teach Academy of Technologies,90047,5- 8,XR,1-Dr George J McKenna III,10045 S Western Ave Los Angeles CA 90047,33.9441359,-118.3093223
Westminster Avenue Elementary Math/Tech/Env Studies Magnet,90291,K- 5,W,4-Nick Melvoin,1010 Abbot Kinney Blvd Venice CA 90291,33.9916066,-118.4721999
Matrix for Success Academy,90011,9-12,XR,5-Jackie Goldberg,1010 E 34th St Los Angeles CA 90011,34.0121604,-118.2572762
Ernest Lawrence Middle School Gifted Magnet,91311,6- 8,NW,3-Scott M Schmerelson,10100 Variel Ave Chatsworth CA 91311,34.2542079,-118.591846
Alliance Judy Ivie Burton Technology Academy High School,90003,9-12,XR,7-Dr Richard A Vladovic,10101 S Broadway Los Angeles CA 90003,33.9441138,-118.2786642
Pinewood Avenue Elementary,91042,K- 5,NE,6-Kelly Gonez,10111 Silverton Ave Tujunga CA 91042,34.2531547,-118.2851085
Haddon Ave Elementary STEAM Magnet,91331,1- 5,NE,6-Kelly Gonez,10115 Haddon Ave Pacoima CA 91331,34.2532149,-118.421133
Andasol Avenue Elementary,91325,K- 5,NW,3-Scott M Schmerelson,10126 Encino Ave Northridge CA 91325,34.2546975,-118.51440890000002
Broadway Elementary,90291,K- 5,W,4-Nick Melvoin,1015 Lincoln Blvd Venice CA 90291,33.997769500000004,-118.4612582
Extera Public School #2,90023,K- 1,XR,2-Monica Garcia,1015 S Lorena St Los Angeles CA 90023,34.0256614,-118.2027238
Vinedale Elementary,91352,K- 7,NE,6-Kelly Gonez,10150 La Tuna Canyon Rd Sun Valley CA 91352,34.233958200000004,-118.3519248
Dr James Edward Jones Primary Center,90037,K- 2,C,1-Dr George J McKenna III,1017 W 47th St Los Angeles CA 90037,34.0010041,-118.292219
Camino Nuevo Academy #4,90026,K- 8,XR,5-Jackie Goldberg,1018 Mohawk St Los Angeles CA 90026,34.0764615,-118.2652252
Soto Street Elementary,90023,K- 6,E,2-Monica Garcia,1020 S Soto St Los Angeles CA 90023,34.0316946,-118.2169831
Santa Monica Boulevard Community,90038,K- 6,XR,4-Nick Melvoin,1022 N Van Ness Ave Los Angeles CA 90038,34.089580700000006,-118.3151905
Apperson Street Elementary,91040,K- 5,NE,6-Kelly Gonez,10233 Woodward Ave Sunland CA 91040,34.2557573,-118.3074271
Westside Global Awareness Magnet,90292,K- 8,W,4-Nick Melvoin,104 Anchorage St Marina Del Rey CA 90292,33.979159499999994,-118.4648593
