,name,is_closed,url,rating,price,review_count,latitude,longitude,location
0,California Caregivers Alliance,False,https://www.yelp.com/biz/california-caregivers-alliance-los-angeles-3?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,364,34.08236,-118.27193,"(34.08236, -118.27193)"
1,Herbarium,False,https://www.yelp.com/biz/herbarium-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,417,34.08854,-118.344699,"(34.08854, -118.344699)"
2,MedMen- Los Angeles - DTLA,False,https://www.yelp.com/biz/medmen-los-angeles-dtla-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,451,34.0446,-118.25444,"(34.0446, -118.25444)"
3,Kushfly,False,https://www.yelp.com/biz/kushfly-los-angeles-5?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,296,34.127617,-118.34671,"(34.127617, -118.34671)"
4,The Higher Path,False,https://www.yelp.com/biz/the-higher-path-sherman-oaks-9?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,363,34.14926596939575,-118.43996347892549,"(34.14926596939575, -118.43996347892549)"
5,MedMen Venice Beach - Abbot Kinney,False,https://www.yelp.com/biz/medmen-venice-beach-abbot-kinney-los-angeles-5?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,256,33.99088,-118.46783,"(33.99088, -118.46783)"
6,Wellness Earth Energy Dispensary,False,https://www.yelp.com/biz/wellness-earth-energy-dispensary-studio-city-4?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,210,34.1398523,-118.3834097,"(34.1398523, -118.3834097)"
7,HERB,False,https://www.yelp.com/biz/herb-los-angeles-3?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,130,34.1283474703859,-118.32828769395539,"(34.1283474703859, -118.32828769395539)"
8,Sweet Flower,False,https://www.yelp.com/biz/sweet-flower-los-angeles-6?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,162,34.083985,-118.3674,"(34.083985, -118.3674)"
9,Extra Special Delivery,False,https://www.yelp.com/biz/extra-special-delivery-north-hollywood?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,135,34.167,-118.37364,"(34.167, -118.37364)"
