name,latitude,longitude
California Caregivers Alliance,34.08236,-118.27193
Herbarium,34.08854,-118.344699
MedMen- Los Angeles - DTLA,34.0446,-118.25444
Kushfly,34.127617,-118.34671
The Higher Path,34.14926596939575,-118.43996347892548
MedMen Venice Beach - Abbot Kinney,33.99088,-118.46783
Wellness Earth Energy Dispensary,34.1398523,-118.3834097
HERB,34.1283474703859,-118.3282876939554
Sweet Flower,34.083985,-118.3674
Extra Special Delivery,34.167,-118.37364
MedMen Los Angeles - LAX Airport,33.95765,-118.39575
Mecca Mid City,34.0344467,-118.3695938
Sweet Flower Arts District,34.037441,-118.232294
BARC Collective,34.070787200485604,-118.37564469611326
Exhalence LA,34.221854,-118.359567
The High Note - Culver City,34.02582,-118.3607
Green Earth Collective Weed Dispensary Highland Park,34.12247,-118.21067
California Cannabis,34.08318,-118.30991
Sweet Flower,34.14178817,-118.387948
MedMen Venice Beach - Lincoln Blvd,34.0008077,-118.466145
MedMen Los Angeles - Beverly Hills,34.0746620981703,-118.383718578289
Mary Jane's Collective,34.0836418,-118.3072488
Top Shelf Marijuana Delivery,34.09431,-118.36154
Organic CBD Nugs - Hemp Flower,34.03023147583008,-118.24201202392578
MMD - North Hollywood,34.1561,-118.36995
MOTA Medicine Of The Angels,34.09279629730515,-118.2803666
Organic Kind,34.0770492553711,-118.25887298584
Cornerstone Wellness,34.1418972,-118.2220956
MedMen Los Angeles - West Hollywood,34.0905911417357,-118.367290442404
FireHaus,34.042108,-118.4416266
Kind Center,34.10658089227271,-118.33052391490048
The Artist Tree Marijuana Dispensary & Weed Delivery Los Angeles,34.0647,-118.30891
Markt Dispensary,34.1343,-118.36019
Kush Alley Recreational Dispensary Northridge,34.22270809211192,-118.49783000509576
The Artist Tree Marijuana Dispensary&Weed Delivery Beverly Hills,34.0763226,-118.370464
Fast & Friendly Delivery Service,33.8649142,-118.3944767
Ganjarunner,34.10451126098633,-118.29180145263672
Hollywood High Grade,34.09108,-118.34312
Sunset Herbal Corner Dispensary,34.17238,-118.3824735
Project Cannabis,34.164803227823995,-118.36736805772397
Pine X Delivery,33.886116027832,-118.405311584473
MMD - Hollywood,34.0984988,-118.3297582
The Buddha Company - DTLA,34.04139,-118.25349
CAC Venice,34.0022531,-118.4691969
Nugg,34.029109954834,-118.283065795898
The Artist Tree Marijuana Dispensary&Weed Delivery WestHollywood,34.08784933,-118.37994233
Sweet Flower Westwood,34.05488,-118.441643
The Reefinery,34.1796,-118.4577
DELI by Caliva,33.87509,-118.13056933
Green Angel,34.148844,-118.437367
Sun Valley Caregivers,34.2380086,-118.3698842
La Brea Collective,34.0481326,-118.3476599
Los Angeles Patients & Caregivers Group,34.0907688800547,-118.346886039038
Erba Markets,34.0281261,-118.45235927
Stiiizy,34.05253083,-118.23209167
Alternative Herbal Health Services,34.09056,-118.36021
Strain Balboa Caregivers,34.25767,-118.60133
420 King Marijuana Delivery,34.10269,-118.29148
Fountain Of Wellbeing,34.2021534,-118.391379
Serra Dispensary,34.07257,-118.36712
LAX CC 21+,33.962012,-118.420838
Pineapple Express Delivers,34.045684814453125,-118.45132446289062
Gradus by SOCC,34.1750832,-118.3804574
WHTC,34.1363802,-118.3621366
Amuse,33.9736289978027,-118.249893188477
Green Cross,33.831109,-118.308726
Golden Leaf Scientifics,34.0053558349609,-118.479789733887
Divine Wellness Center,34.202434,-118.595115
Nugg Club,34.01182839926165,-118.46814867880374
Luvbrite Delivery,34.01158,-118.49227
The Growcery,34.0511166,-118.3653043
Goddess Delivers,33.9793472290039,-118.250053405762
Project Cannabis,34.025806,-118.241626
Fly Delivery Cannabis Caregivers,34.11248779296875,-118.26201629638672
Smartweed,34.08953,-118.30872
LA Wonderland Marijuana Dispensary,34.033994,-118.264534
Foothill Wellness Center,34.247908651424986,-118.2871575656414
Zen Healing,34.0896619,-118.3755122
Express Treetop Marijuana Dispensary,40.7522897,-73.99000459999999
Pineapple Express Delivers,34.4400287,-118.5914696
Lit Co,34.03941,-118.2677
House Of Flowers,34.0644,-118.27157
The Balloon Room,34.045809,-118.260598
The Antidote,34.08344732352794,-118.3508367
Emberz,34.211817,-118.462793
The Pottery,34.04502,-118.34853
Dr. Greenthumb’s,34.07467,-118.22086
Marina Caregivers,33.990839,-118.445826
Gorilla Rx,34.00728,-118.33513
The Medicine Woman,33.869291172765166,-118.140589
GREENWOLF LA,34.1256846,-118.2639331
Skyhigh LA,34.0598826107359,-118.215785399079
Natural Remedies Caregivers,34.087443,-118.309602
Best Buds Delivery,33.9556606,-118.416723
Calma,34.09242667,-118.34441667
Buds & Roses,34.1460999,-118.41768
TLC Collective by Jungle Boys,34.0177450381105,-118.198729850021
New Apothecary,34.153096,-118.468758
Ice Kream,34.13963,-118.37872
New Age Care Center,34.01078,-118.2796
New Amsterdam Naturals - NNCC,34.02887,-118.3927
Los Angeles Farmers,34.02736,-118.25302
Sherbinskis,34.077554,-118.361592
Firehouse 365,33.9829135,-118.1860701
420 Caregiver Sherman Oaks Dispensary,34.14896,-118.43868
Happy Leaf Collective Dispensary,34.04422,-118.43246
Grassdoor,34.10746544713674,-118.36528095383233
Emjay,34.06767654418945,-118.34990692138672
420 Altadena 25 Cap,34.18561033,-118.1512005
Green Door West Delivery,34.03722,-118.42127
CBD on Abbot,33.98866,-118.45258
iLyfted Studio City,34.150135,-118.379941
LB Collective,33.87491,-118.17117
Wonderbrett Store,34.076733,-118.343777
HCMA,34.24088,-118.39002
City Compassionate Caregivers,34.0348,-118.22392
Josephine and Billie’s,34.0111315,-118.3050523
The Buddha Company - Arts District,34.030514,-118.230839
Cannajuana Releaf,34.13526,-118.24425
Limited Edition420 Delivery,34.0997886657715,-118.327217102051
Illa Canna,34.02541,-118.34366
Silver Lake Caregivers Group,34.1070133,-118.25503521
Leaf and Lion,33.88154,-118.16254
Semilla_HRC,34.2093599,-118.36264
Pot Valet Marijuana Weed Delivery,34.0398292541504,-118.268547058105
Fast and Friendly,34.0011596679688,-118.154960632324
