Unnamed: 0,Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street,Location,latitude,longitude,marijuana_related
340,5568617,2019-03-09,2015.0,6,Hollywood,646,29,M,O,16.0,Narcotic Drug Laws,F,11359HS,possession marijuana for sale,CHEROKEE,HOLLYWOOD,"['34.1016', '-118.335']",34.1016,-118.335,possession marijuana for sale
342,5568629,2019-03-09,2015.0,6,Hollywood,646,25,M,B,16.0,Narcotic Drug Laws,F,11359HS,possession marijuana for sale,CHEROKEE,HOLLYWOOD,"['34.1016', '-118.335']",34.1016,-118.335,possession marijuana for sale
983,5607178,2019-04-21,2115.0,7,Wilshire,702,42,M,B,16.0,Narcotic Drug Laws,F,11359(D)HS,poss/sale marij ovr 21 employ per 20/belw,MELROSE                      AV,FAIRFAX                      AV,"['34.0838', '-118.3614']",34.0838,-118.3614,poss/sale marij ovr 21 employ per 20/belw
2410,5616516,2019-05-01,1045.0,14,Pacific,1494,26,M,B,16.0,Narcotic Drug Laws,F,11360A3DHS,sale/trans >28.5g marijuana or >4g,500    WORLD                        WY,,"['33.9428', '-118.4054']",33.9428,-118.4054,sale/trans >28.5g marijuana or >4g
2913,5616188,2019-05-01,5.0,15,N Hollywood,1543,27,M,B,16.0,Narcotic Drug Laws,F,11360A3DHS,sale/trans >28.5g marijuana or >4g,LAUREL CANYON                BL,WEDDINGTON,"['34.1667', '-118.3965']",34.1667,-118.3965,sale/trans >28.5g marijuana or >4g
3548,5427028,2018-09-19,1405.0,14,Pacific,1494,21,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,400    WORLD                        WY,,"['33.9433', '-118.4072']",33.9433,-118.4072,transport/sell/furnish/etc marijuana
3664,5579045,2019-03-21,1300.0,14,Pacific,1494,29,F,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,500    WORLD WAY,,"['33.9428', '-118.4054']",33.9428,-118.4054,transport/sell/furnish/etc marijuana
3697,5593800,2019-04-07,800.0,14,Pacific,1494,21,M,W,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLD WAY,,"['33.944', '-118.4073']",33.944,-118.4073,transport/sell/furnish/etc marijuana
3700,5594296,2019-04-08,46.0,14,Pacific,1494,30,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,700    WORLD WAY,,"['33.9432', '-118.4013']",33.9432,-118.4013,transport/sell/furnish/etc marijuana
3701,5595390,2019-04-09,630.0,14,Pacific,1494,26,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,800    WORLDWAY                     BL,,"['33.942', '-118.4095']",33.942,-118.4095,transport/sell/furnish/etc marijuana
3705,5597018,2019-04-10,1830.0,14,Pacific,1494,32,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,700    WORLD WAY,,"['33.9432', '-118.4013']",33.9432,-118.4013,transport/sell/furnish/etc marijuana
3708,5597967,2019-04-11,1615.0,14,Pacific,1431,27,M,B,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,OCEAN FRONT                  WK,HORIZON                      AV,"['33.988', '-118.4745']",33.988,-118.4745,possess marijuana for sale
3733,5604435,2019-04-18,1700.0,14,Pacific,1494,24,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLD                        WY,,"['33.944', '-118.4073']",33.944,-118.4073,transport/sell/furnish/etc marijuana
3819,5612531,2019-04-27,930.0,19,Mission,1943,31,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLD                        WY,,"['34.2688', '-118.4559']",34.2688,-118.4559,transport/sell/furnish/etc marijuana
3820,5612540,2019-04-27,930.0,14,Pacific,1494,28,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLD                        WY,,"['33.944', '-118.4073']",33.944,-118.4073,transport/sell/furnish/etc marijuana
3924,5617716,2019-05-02,830.0,14,Pacific,1494,20,M,W,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,500    WORLDWAY                     BL,,"['33.942', '-118.4095']",33.942,-118.4095,transport/sell/furnish/etc marijuana
4128,5621846,2019-05-06,2030.0,19,Mission,1982,38,M,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,SEPULVEDA,PARTHENIA,"['34.2283', '-118.4677']",34.2283,-118.4677,possess marijuana for sale
4691,5621713,2019-05-06,1710.0,18,Southeast,1863,24,F,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,119TH,MAIN,"['33.9271', '-118.2659']",33.9271,-118.2659,possess marijuana for sale
