,School,Zip Code,Grades,Local District,Board District,complete_address
0,Frank Del Olmo Elementary,90004,K- 5,C,2-Monica Garcia,100 N New Hampshire Ave Los Angeles CA 90004
1,10th Street Elementary,90015,1- 5,C,2-Monica Garcia,1000 Grattan St Los Angeles CA 90015
2,Elementary Community Day School,91311,K- 6,XS,3-Scott M Schmerelson,10001 Jumilla Ave Chatsworth CA 91311
3,Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag,91340,9-12,NE,6-Kelly Gonez,1001 Arroyo Ave San Fernando CA 91340
4,San Pedro Senior High Gifted STEAM Magnet,90731,9-12,S,7-Dr Richard A Vladovic,1001 W 15th St San Pedro CA 90731
5,Normont Elementary,90710,K- 5,S,7-Dr Richard A Vladovic,1001 W 253rd St Harbor City CA 90710
6,Stoney Point Continuation High,91311,9-12,NW,3-Scott M Schmerelson,10010 De Soto Ave Chatsworth CA 91311
7,Montara Avenue Elementary,90280,K- 6,E,5-Jackie Goldberg,10018 Montara Ave South Gate CA 90280
8,Chatsworth Charter High School,91311,9-12,NW,3-Scott M Schmerelson,10027 Lurline Ave Chatsworth CA 91311
9,Our Community Charter School,91311,K- 8,XR,3-Scott M Schmerelson,10045 Jumilla Ave Chatsworth CA 91311
10,Teach Academy of Technologies,90047,5- 8,XR,1-Dr George J McKenna III,10045 S Western Ave Los Angeles CA 90047
11,Westminster Avenue Elementary Math/Tech/Env Studies Magnet,90291,K- 5,W,4-Nick Melvoin,1010 Abbot Kinney Blvd Venice CA 90291
12,Matrix for Success Academy,90011,9-12,XR,5-Jackie Goldberg,1010 E 34th St Los Angeles CA 90011
13,Ernest Lawrence Middle School Gifted Magnet,91311,6- 8,NW,3-Scott M Schmerelson,10100 Variel Ave Chatsworth CA 91311
14,Alliance Judy Ivie Burton Technology Academy High School,90003,9-12,XR,7-Dr Richard A Vladovic,10101 S Broadway Los Angeles CA 90003
15,Pinewood Avenue Elementary,91042,K- 5,NE,6-Kelly Gonez,10111 Silverton Ave Tujunga CA 91042
16,Haddon Ave Elementary STEAM Magnet,91331,1- 5,NE,6-Kelly Gonez,10115 Haddon Ave Pacoima CA 91331
17,Andasol Avenue Elementary,91325,K- 5,NW,3-Scott M Schmerelson,10126 Encino Ave Northridge CA 91325
18,Broadway Elementary,90291,K- 5,W,4-Nick Melvoin,1015 Lincoln Blvd Venice CA 90291
19,Extera Public School #2,90023,K- 1,XR,2-Monica Garcia,1015 S Lorena St Los Angeles CA 90023
20,Vinedale Elementary,91352,K- 7,NE,6-Kelly Gonez,10150 La Tuna Canyon Rd Sun Valley CA 91352
21,Dr James Edward Jones Primary Center,90037,K- 2,C,1-Dr George J McKenna III,1017 W 47th St Los Angeles CA 90037
22,Camino Nuevo Academy #4,90026,K- 8,XR,5-Jackie Goldberg,1018 Mohawk St Los Angeles CA 90026
23,Soto Street Elementary,90023,K- 6,E,2-Monica Garcia,1020 S Soto St Los Angeles CA 90023
24,Santa Monica Boulevard Community,90038,K- 6,XR,4-Nick Melvoin,1022 N Van Ness Ave Los Angeles CA 90038
25,Apperson Street Elementary,91040,K- 5,NE,6-Kelly Gonez,10233 Woodward Ave Sunland CA 91040
26,Westside Global Awareness Magnet,90292,K- 8,W,4-Nick Melvoin,104 Anchorage St Marina Del Rey CA 90292
27,Weigand Avenue Elementary,90002,K- 5,S,7-Dr Richard A Vladovic,10401 Weigand Ave Los Angeles CA 90002
28,Sally Ride Elementary: A Smart Academy,90011,K- 5,C,5-Jackie Goldberg,1041 E 46th St Los Angeles CA 90011
29,Valley Academy of Arts and Sciences,91344,9-12,NW,3-Scott M Schmerelson,10445 Balboa Blvd Granada Hills CA 91344
30,Amestoy Elementary,90247,K- 5,S,7-Dr Richard A Vladovic,1048 W 149th St Gardena CA 90247
31,West Hollywood Community Day School,90046,7-12,W,4-Nick Melvoin,1049 N Fairfax Ave West Hollywood CA 90046
